item_id,translator,comet_score,status
rs::ADLVFFE4VBT8::B0009Y7APU::1239062400,gemini-3.1-pro-preview,0.8482,PASS
rs::ADLVFFE4VBT8::B00006343P::1320364800,gemini-3.1-pro-preview,0.8553,PASS
rs::ADLVFFE4VBT8::B000JVCPEY::1231632000,gemini-3.1-pro-preview,0.8553,PASS
rt::ADLVFFE4VBT8::B0000VP1WQ::1245628800,gemini-3.1-pro-preview,0.7224,PASS
rt::ADLVFFE4VBT8::B000HDL05O::1276041600,gemini-3.1-pro-preview,0.5783,RETRY
rt::ADLVFFE4VBT8::B000M4XMGI::1225152000,gemini-3.1-pro-preview,0.6299,RETRY
rs::ADLVFFE4VBT8::B0001IXUDK::1246924800,gemini-3.1-pro-preview,0.8562,PASS
rt::ADLVFFE4VBT8::B0002KKIUA::1297382400,gemini-3.1-pro-preview,0.7717,PASS
rs::ADLVFFE4VBT8::B000FITJ04::1239580800,gemini-3.1-pro-preview,0.8433,PASS
rt::ADLVFFE4VBT8::B000OEOMOW::1226880000,gemini-3.1-pro-preview,0.7931,PASS
rs::ADLVFFE4VBT8::B000M51NRM::1263340800,gemini-3.1-pro-preview,0.8607,PASS
rt::ADLVFFE4VBT8::B000FDVK2E::1249516800,gemini-3.1-pro-preview,0.5566,RETRY
rs::ADLVFFE4VBT8::B0002L5R78::1229212800,gemini-3.1-pro-preview,0.8886,PASS
rt::ADLVFFE4VBT8::B0009Y7APU::1239062400,gemini-3.1-pro-preview,0.8182,PASS
rs::ADLVFFE4VBT8::B000HKGK8Y::1264896000,gemini-3.1-pro-preview,0.6920,RETRY
rs::ADLVFFE4VBT8::B000OH56ZS::1228780800,gemini-3.1-pro-preview,0.8607,PASS
rt::ADLVFFE4VBT8::B00006343P::1320364800,gemini-3.1-pro-preview,0.5693,RETRY
rt::ADLVFFE4VBT8::B000HEANB0::1292371200,gemini-3.1-pro-preview,0.4850,RETRY
rs::ADLVFFE4VBT8::B000BYA5NC::1263427200,gemini-3.1-pro-preview,0.7703,PASS
rt::ADLVFFE4VBT8::B0001IXUDK::1246924800,gemini-3.1-pro-preview,0.4969,RETRY
rs::ADLVFFE4VBT8::B000067RVL::1250640000,gemini-3.1-pro-preview,0.8790,PASS
rs::ADLVFFE4VBT8::B000KZ67FC::1247011200,gemini-3.1-pro-preview,0.8720,PASS
rt::ADLVFFE4VBT8::B000JVCPEY::1231632000,gemini-3.1-pro-preview,0.4993,RETRY
rt::ADLVFFE4VBT8::B000FITJ04::1239580800,gemini-3.1-pro-preview,0.5281,RETRY
rt::ADLVFFE4VBT8::B000OH56ZS::1228780800,gemini-3.1-pro-preview,0.5551,RETRY
rt::ADLVFFE4VBT8::B000M51NRM::1263340800,gemini-3.1-pro-preview,0.6072,RETRY
rt::ADLVFFE4VBT8::B000HKGK8Y::1264896000,gemini-3.1-pro-preview,0.5322,RETRY
rt::ADLVFFE4VBT8::B0002L5R78::1229212800,gemini-3.1-pro-preview,0.5435,RETRY
